functional_domain,storage_zone,job_id,relationship,dataset
51P07G,RAWDATA,51p07g-imzyamgo-pzihuuoqjdph,OUTPUT,d_51p07g_4205
51P07G,RAWDATA,51p07g-rnfwvqbk-bznzlwsmyzop,INPUT,d_51p07g_4205
51P07G,MASTERDATA,51p07g-rnfwvqbk-bznzlwsmyzop,INPUT,d_51p07g_2036
51P07G,MASTERDATA,51p07g-rnfwvqbk-bznzlwsmyzop,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-rnfwvqbk-bznzlwsmyzop,INPUT,d_51p07g_2909
51P07G,RAWDATA,51p07g-jzeiphvx-sqpryeuyrbfq,INPUT,d_51p07g_3332
51P07G,MASTERDATA,51p07g-jzeiphvx-sqpryeuyrbfq,INPUT,d_51p07g_2911
51P07G,MASTERDATA,51p07g-jzeiphvx-sqpryeuyrbfq,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-qhfbwjmk-iukufabigtnw,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-qhfbwjmk-iukufabigtnw,INPUT,d_51p07g_2910
51P07G,RAWDATA,51p07g-qhfbwjmk-iukufabigtnw,INPUT,d_51p07g_3331
51P07G,STAGING IN,51p07g-zztxgahp-wjiebqimdxvk,INPUT,d_51p07g_406
51P07G,MASTERDATA,51p07g-zztxgahp-wjiebqimdxvk,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-pjunruhz-cxghomlwnjyd,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-pjunruhz-cxghomlwnjyd,INPUT,d_51p07g_4976
51P07G,MASTERDATA,51p07g-pjunruhz-cxghomlwnjyd,INPUT,d_51p07g_2909
51P07G,MASTERDATA,51p07g-lkuoneup-qgjxjhkjcpks,INPUT,d_51p07g_2909
51P07G,MASTERDATA,51p07g-lkuoneup-qgjxjhkjcpks,INPUT,d_51p07g_4976
51P07G,MASTERDATA,51p07g-lkuoneup-qgjxjhkjcpks,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-brkrlgbu-iuepgxzvhong,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-brkrlgbu-iuepgxzvhong,INPUT,d_51p07g_2909
51P07G,MASTERDATA,51p07g-iobiczmv-quzjhbqgglua,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-iobiczmv-quzjhbqgglua,INPUT,d_51p07g_2909
51P07G,MASTERDATA,51p07g-wvwjfwgs-zbkfdkcxafya,INPUT,d_51p07g_2911
51P07G,MASTERDATA,51p07g-wvwjfwgs-zbkfdkcxafya,INPUT,d_51p07g_2910
51P07G,MASTERDATA,51p07g-wvwjfwgs-zbkfdkcxafya,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-xzdgolmu-fxrwpgwqejzr,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-xzdgolmu-fxrwpgwqejzr,INPUT,d_51p07g_2911
51P07G,MASTERDATA,51p07g-xzdgolmu-fxrwpgwqejzr,INPUT,d_51p07g_2910
51P07G,MASTERDATA,51p07g-qmqlrzcx-cmjghouopcqn,INPUT,d_51p07g_2909
51P07G,MASTERDATA,51p07g-qmqlrzcx-cmjghouopcqn,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-qmqlrzcx-cmjghouopcqn,INPUT,d_51p07g_4684
51P07G,MASTERDATA,51p07g-tkfwbezq-imjykydmwqev,INPUT,d_51p07g_4976
51P07G,MASTERDATA,51p07g-tkfwbezq-imjykydmwqev,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-tkfwbezq-imjykydmwqev,INPUT,d_51p07g_2910
51P07G,MASTERDATA,51p07g-uisbutiw-cfkzhczxcciz,INPUT,d_51p07g_2911
51P07G,MASTERDATA,51p07g-uisbutiw-cfkzhczxcciz,INPUT,d_51p07g_4976
51P07G,MASTERDATA,51p07g-uisbutiw-cfkzhczxcciz,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-ytirgtkp-egnessaakrum,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-ytirgtkp-egnessaakrum,INPUT,d_51p07g_2910
51P07G,MASTERDATA,51p07g-vnwhesyj-hbebwaqsxzgl,INPUT,d_51p07g_2911
51P07G,MASTERDATA,51p07g-vnwhesyj-hbebwaqsxzgl,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-qprdtqhq-nsqikkthamim,OUTPUT,d_51p07g_2015
51P07G,MASTERDATA,51p07g-qprdtqhq-nsqikkthamim,INPUT,d_51p07g_2909
51P07G,MASTERDATA,51p07g-ppuiwcme-awakumqywxdz,INPUT,d_51p07g_2909
TBNOA3,MASTERDATA,tbnoa3-cvbykaao-nfuqjkjwguar,INPUT,d_tbnoa3_2912
TBNOA3,MASTERDATA,tbnoa3-cvbykaao-nfuqjkjwguar,INPUT,d_tbnoa3_2913
TBNOA3,MASTERDATA,tbnoa3-cvbykaao-nfuqjkjwguar,OUTPUT,d_tbnoa3_2015
YVJ9UY,MASTERDATA,yvj9uy-oihonkxe-ftgwmnomcvad,INPUT,d_yvj9uy_4976
YVJ9UY,MASTERDATA,yvj9uy-oihonkxe-ftgwmnomcvad,INPUT,d_yvj9uy_4983
YVJ9UY,MASTERDATA,yvj9uy-oihonkxe-ftgwmnomcvad,OUTPUT,d_yvj9uy_2914
YVJ9UY,MASTERDATA,yvj9uy-oihonkxe-ftgwmnomcvad,INPUT,d_yvj9uy_5302
YVJ9UY,MASTERDATA,yvj9uy-cmuvroaq-qtuzjchmxskc,INPUT,d_yvj9uy_5302
YVJ9UY,MASTERDATA,yvj9uy-cmuvroaq-qtuzjchmxskc,INPUT,d_yvj9uy_4983
YVJ9UY,MASTERDATA,yvj9uy-cmuvroaq-qtuzjchmxskc,INPUT,d_yvj9uy_4976
YVJ9UY,MASTERDATA,yvj9uy-cmuvroaq-qtuzjchmxskc,OUTPUT,d_yvj9uy_2914
YVJ9UY,MASTERDATA,yvj9uy-maizodiy-cjtfhesbocwd,OUTPUT,d_yvj9uy_2914
YVJ9UY,MASTERDATA,yvj9uy-maizodiy-cjtfhesbocwd,INPUT,d_yvj9uy_5302
YVJ9UY,MASTERDATA,yvj9uy-maizodiy-cjtfhesbocwd,INPUT,d_yvj9uy_4976
YVJ9UY,MASTERDATA,yvj9uy-maizodiy-cjtfhesbocwd,INPUT,d_yvj9uy_4983
YVJ9UY,MASTERDATA,yvj9uy-ldyysjgi-vnjuwfgtusly,INPUT,d_yvj9uy_4976
YVJ9UY,MASTERDATA,yvj9uy-ldyysjgi-vnjuwfgtusly,OUTPUT,d_yvj9uy_2914
YVJ9UY,RAWDATA,yvj9uy-ldyysjgi-vnjuwfgtusly,INPUT,d_yvj9uy_4205
YVJ9UY,RAWDATA,yvj9uy-jabhneae-szhquspnbmyn,INPUT,d_yvj9uy_4205
YVJ9UY,MASTERDATA,yvj9uy-jabhneae-szhquspnbmyn,INPUT,d_yvj9uy_2036
YVJ9UY,MASTERDATA,yvj9uy-jabhneae-szhquspnbmyn,OUTPUT,d_yvj9uy_2015
YVJ9UY,MASTERDATA,yvj9uy-jabhneae-szhquspnbmyn,INPUT,d_yvj9uy_2914
YVJ9UY,MASTERDATA,yvj9uy-kehntadv-fjzckbvoojyr,INPUT,d_yvj9uy_2914
YVJ9UY,MASTERDATA,yvj9uy-kehntadv-fjzckbvoojyr,INPUT,d_yvj9uy_4976
YVJ9UY,MASTERDATA,yvj9uy-kehntadv-fjzckbvoojyr,OUTPUT,d_yvj9uy_2015
YVJ9UY,MASTERDATA,yvj9uy-cfiuaegs-zzooadpwtqgp,OUTPUT,d_yvj9uy_2015
YVJ9UY,MASTERDATA,yvj9uy-cfiuaegs-zzooadpwtqgp,INPUT,d_yvj9uy_2914
YVJ9UY,MASTERDATA,yvj9uy-pzylvfro-hipncixjsmgf,INPUT,d_yvj9uy_2914
YVJ9UY,MASTERDATA,yvj9uy-pzylvfro-hipncixjsmgf,OUTPUT,d_yvj9uy_2015
YVJ9UY,MASTERDATA,yvj9uy-acatpspy-jofxdskbjyde,INPUT,d_yvj9uy_2914
6CGAFH,RAWDATA,6cgafh-nmqtklxh-vkshidriyamt,INPUT,d_6cgafh_3956
6CGAFH,MASTERDATA,6cgafh-nmqtklxh-vkshidriyamt,OUTPUT,d_6cgafh_2921
6CGAFH,MASTERDATA,6cgafh-ohznhtxw-hsuubauxzxgu,INPUT,d_6cgafh_2922
6CGAFH,MASTERDATA,6cgafh-ohznhtxw-hsuubauxzxgu,OUTPUT,d_6cgafh_2923
6CGAFH,RAWDATA,6cgafh-bkvxluai-mfkpjqgtoejy,INPUT,d_6cgafh_3957
6CGAFH,MASTERDATA,6cgafh-bkvxluai-mfkpjqgtoejy,OUTPUT,d_6cgafh_2924
6CGAFH,MASTERDATA,6cgafh-bkbruxtv-vsixqirokzxf,INPUT,d_6cgafh_2924
6CGAFH,MASTERDATA,6cgafh-bkbruxtv-vsixqirokzxf,OUTPUT,d_6cgafh_2925
6CGAFH,MASTERDATA,6cgafh-qkcplnav-hoodehrtyhym,INPUT,d_6cgafh_2925
6CGAFH,MASTERDATA,6cgafh-qkcplnav-hoodehrtyhym,OUTPUT,d_6cgafh_2924
6CGAFH,MASTERDATA,6cgafh-pgzbnkzj-exwneubwzfri,OUTPUT,d_6cgafh_2927
6CGAFH,MASTERDATA,6cgafh-pgzbnkzj-exwneubwzfri,INPUT,d_6cgafh_2926
6CGAFH,MASTERDATA,6cgafh-zzbgsxrr-flsyaoolrcbg,INPUT,d_6cgafh_2926
6CGAFH,MASTERDATA,6cgafh-zzbgsxrr-flsyaoolrcbg,OUTPUT,d_6cgafh_2928
6CGAFH,MASTERDATA,6cgafh-qifpzhrs-pzfkcizipbow,INPUT,d_6cgafh_2928
6CGAFH,MASTERDATA,6cgafh-qifpzhrs-pzfkcizipbow,OUTPUT,d_6cgafh_2926
6CGAFH,MASTERDATA,6cgafh-jaahvxjc-ldcwjfhguhqo,INPUT,d_6cgafh_2929
6CGAFH,MASTERDATA,6cgafh-jaahvxjc-ldcwjfhguhqo,OUTPUT,d_6cgafh_2930
6CGAFH,RAWDATA,6cgafh-soihsmuh-xyddwstmwnko,INPUT,d_6cgafh_3958
6CGAFH,MASTERDATA,6cgafh-soihsmuh-xyddwstmwnko,OUTPUT,d_6cgafh_2931
6CGAFH,MASTERDATA,6cgafh-tqrysfrk-zxkmpghcuwpp,OUTPUT,d_6cgafh_2933
6CGAFH,MASTERDATA,6cgafh-tqrysfrk-zxkmpghcuwpp,INPUT,d_6cgafh_2932
6CGAFH,MASTERDATA,6cgafh-aayovgkj-smjaiaeppcsj,INPUT,d_6cgafh_2932
6CGAFH,MASTERDATA,6cgafh-aayovgkj-smjaiaeppcsj,OUTPUT,d_6cgafh_2934
6CGAFH,MASTERDATA,6cgafh-onwkunma-vftbcrkwfqhg,INPUT,d_6cgafh_2934
6CGAFH,MASTERDATA,6cgafh-onwkunma-vftbcrkwfqhg,OUTPUT,d_6cgafh_2932
6CGAFH,RAWDATA,6cgafh-dkvsqcal-gtgavykeohit,INPUT,d_6cgafh_3963
6CGAFH,MASTERDATA,6cgafh-dkvsqcal-gtgavykeohit,OUTPUT,d_6cgafh_2936
6CGAFH,RAWDATA,6cgafh-hcqqxqdh-mzuvumsxnfcw,INPUT,d_6cgafh_3964
6CGAFH,MASTERDATA,6cgafh-hcqqxqdh-mzuvumsxnfcw,OUTPUT,d_6cgafh_2938
6CGAFH,RAWDATA,6cgafh-orbvlhqd-zlepkkqjvtxh,INPUT,d_6cgafh_3965
6CGAFH,MASTERDATA,6cgafh-orbvlhqd-zlepkkqjvtxh,OUTPUT,d_6cgafh_2940
6CGAFH,RAWDATA,6cgafh-vudmqpfm-exlamximarnx,INPUT,d_6cgafh_3969
6CGAFH,MASTERDATA,6cgafh-vudmqpfm-exlamximarnx,OUTPUT,d_6cgafh_2941
6CGAFH,RAWDATA,6cgafh-abfkidql-sycmonzmsmyu,INPUT,d_6cgafh_3977
6CGAFH,MASTERDATA,6cgafh-abfkidql-sycmonzmsmyu,OUTPUT,d_6cgafh_2942
6CGAFH,MASTERDATA,6cgafh-riljhwns-jgtimvyrxxch,OUTPUT,d_6cgafh_2945
6CGAFH,MASTERDATA,6cgafh-riljhwns-jgtimvyrxxch,INPUT,d_6cgafh_2944
6CGAFH,MASTERDATA,6cgafh-kdiglsry-qoxzyyrwhkzh,INPUT,d_6cgafh_2944
6CGAFH,MASTERDATA,6cgafh-kdiglsry-qoxzyyrwhkzh,OUTPUT,d_6cgafh_2946
6CGAFH,MASTERDATA,6cgafh-nwtvugdw-jaowslrlwdcp,INPUT,d_6cgafh_2946
6CGAFH,MASTERDATA,6cgafh-nwtvugdw-jaowslrlwdcp,OUTPUT,d_6cgafh_2944
6CGAFH,MASTERDATA,6cgafh-tpaoumto-bwykvdnoevio,OUTPUT,d_6cgafh_2947
6CGAFH,RAWDATA,6cgafh-tpaoumto-bwykvdnoevio,INPUT,d_6cgafh_3978
6CGAFH,RAWDATA,6cgafh-ifxtylrf-rqorcwhvascc,INPUT,d_6cgafh_3979
6CGAFH,MASTERDATA,6cgafh-ifxtylrf-rqorcwhvascc,OUTPUT,d_6cgafh_2948
6CGAFH,RAWDATA,6cgafh-zrfrabar-yfqzpqrdvxpk,INPUT,d_6cgafh_4234
6CGAFH,MASTERDATA,6cgafh-zrfrabar-yfqzpqrdvxpk,OUTPUT,d_6cgafh_2935
6CGAFH,MASTERDATA,6cgafh-anmfxqiw-vkdqkuxfeyqe,INPUT,d_6cgafh_2920
6CGAFH,MASTERDATA,6cgafh-anmfxqiw-vkdqkuxfeyqe,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-reogsjej-mwzgqmddhfjq,OUTPUT,d_6cgafh_2015
6CGAFH,RAWDATA,6cgafh-reogsjej-mwzgqmddhfjq,INPUT,d_6cgafh_3956
6CGAFH,MASTERDATA,6cgafh-reogsjej-mwzgqmddhfjq,INPUT,d_6cgafh_2921
6CGAFH,MASTERDATA,6cgafh-reogsjej-mwzgqmddhfjq,INPUT,d_6cgafh_2037
6CGAFH,MASTERDATA,6cgafh-xjlgbnik-aifuswhflsci,INPUT,d_6cgafh_2923
6CGAFH,MASTERDATA,6cgafh-xjlgbnik-aifuswhflsci,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-pyhpbsnh-azofkaftaihz,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-pyhpbsnh-azofkaftaihz,INPUT,d_6cgafh_2922
6CGAFH,MASTERDATA,6cgafh-dwzlfjkg-bwjjkgyegcrm,INPUT,d_6cgafh_2037
6CGAFH,MASTERDATA,6cgafh-dwzlfjkg-bwjjkgyegcrm,OUTPUT,d_6cgafh_2015
6CGAFH,RAWDATA,6cgafh-dwzlfjkg-bwjjkgyegcrm,INPUT,d_6cgafh_3957
6CGAFH,MASTERDATA,6cgafh-dwzlfjkg-bwjjkgyegcrm,INPUT,d_6cgafh_2924
6CGAFH,MASTERDATA,6cgafh-tfylniac-wsevxgcuukad,INPUT,d_6cgafh_2927
6CGAFH,MASTERDATA,6cgafh-tfylniac-wsevxgcuukad,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-gtxdejsh-cpyqbnpduoxf,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-gtxdejsh-cpyqbnpduoxf,INPUT,d_6cgafh_2926
6CGAFH,MASTERDATA,6cgafh-upveaiqr-gkdfkyxxbekv,INPUT,d_6cgafh_2930
6CGAFH,MASTERDATA,6cgafh-upveaiqr-gkdfkyxxbekv,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-ihdjoukr-hbqthhumqtax,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-ihdjoukr-hbqthhumqtax,INPUT,d_6cgafh_2929
6CGAFH,RAWDATA,6cgafh-lwzdgguu-ffvhaynfuizz,INPUT,d_6cgafh_3958
6CGAFH,MASTERDATA,6cgafh-lwzdgguu-ffvhaynfuizz,INPUT,d_6cgafh_2931
6CGAFH,MASTERDATA,6cgafh-lwzdgguu-ffvhaynfuizz,INPUT,d_6cgafh_2037
6CGAFH,MASTERDATA,6cgafh-lwzdgguu-ffvhaynfuizz,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-ohtvqszh-rycnkrakdaim,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-ohtvqszh-rycnkrakdaim,INPUT,d_6cgafh_2933
6CGAFH,MASTERDATA,6cgafh-ykrwpvlr-zgzndvewwsrc,INPUT,d_6cgafh_2932
6CGAFH,MASTERDATA,6cgafh-ykrwpvlr-zgzndvewwsrc,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-gncimtgm-rfprasjlresh,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-gncimtgm-rfprasjlresh,INPUT,d_6cgafh_2
6CGAFH,RAWDATA,6cgafh-gncimtgm-rfprasjlresh,INPUT,d_6cgafh_4234
6CGAFH,MASTERDATA,6cgafh-gncimtgm-rfprasjlresh,INPUT,d_6cgafh_2935
6CGAFH,RAWDATA,6cgafh-pkjzvjqw-lqiadlwqfjwm,INPUT,d_6cgafh_3963
6CGAFH,MASTERDATA,6cgafh-pkjzvjqw-lqiadlwqfjwm,INPUT,d_6cgafh_2936
6CGAFH,MASTERDATA,6cgafh-pkjzvjqw-lqiadlwqfjwm,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-pkjzvjqw-lqiadlwqfjwm,INPUT,d_6cgafh_2037
6CGAFH,MASTERDATA,6cgafh-roohofey-srkyquzsygxe,INPUT,d_6cgafh_2937
6CGAFH,MASTERDATA,6cgafh-roohofey-srkyquzsygxe,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-etqmledq-cgyxcnwmuofx,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-etqmledq-cgyxcnwmuofx,INPUT,d_6cgafh_2037
6CGAFH,RAWDATA,6cgafh-etqmledq-cgyxcnwmuofx,INPUT,d_6cgafh_3964
6CGAFH,MASTERDATA,6cgafh-etqmledq-cgyxcnwmuofx,INPUT,d_6cgafh_2938
6CGAFH,MASTERDATA,6cgafh-ozydxtcb-dssghufjptvy,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-ozydxtcb-dssghufjptvy,INPUT,d_6cgafh_2939
6CGAFH,MASTERDATA,6cgafh-esfrmpio-petvuccqjqzc,INPUT,d_6cgafh_2037
6CGAFH,RAWDATA,6cgafh-esfrmpio-petvuccqjqzc,INPUT,d_6cgafh_3965
6CGAFH,MASTERDATA,6cgafh-esfrmpio-petvuccqjqzc,INPUT,d_6cgafh_2940
6CGAFH,MASTERDATA,6cgafh-esfrmpio-petvuccqjqzc,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-hpqsxerx-ryhulxcrcswt,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-hpqsxerx-ryhulxcrcswt,INPUT,d_6cgafh_2037
6CGAFH,RAWDATA,6cgafh-hpqsxerx-ryhulxcrcswt,INPUT,d_6cgafh_3969
6CGAFH,MASTERDATA,6cgafh-hpqsxerx-ryhulxcrcswt,INPUT,d_6cgafh_2941
6CGAFH,RAWDATA,6cgafh-mbetolqe-cobagxzuxujo,INPUT,d_6cgafh_3977
6CGAFH,MASTERDATA,6cgafh-mbetolqe-cobagxzuxujo,INPUT,d_6cgafh_2942
6CGAFH,MASTERDATA,6cgafh-mbetolqe-cobagxzuxujo,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-mbetolqe-cobagxzuxujo,INPUT,d_6cgafh_2037
6CGAFH,MASTERDATA,6cgafh-ureqbkfa-jzjttcmyrmtt,INPUT,d_6cgafh_2943
6CGAFH,MASTERDATA,6cgafh-ureqbkfa-jzjttcmyrmtt,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-tmlqnzof-cfbxlundzgnq,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-tmlqnzof-cfbxlundzgnq,INPUT,d_6cgafh_2945
6CGAFH,MASTERDATA,6cgafh-wqyjlvpz-tqiglcqinakc,INPUT,d_6cgafh_2944
6CGAFH,MASTERDATA,6cgafh-wqyjlvpz-tqiglcqinakc,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-vzatocfu-smnqhsvandsc,OUTPUT,d_6cgafh_2015
6CGAFH,MASTERDATA,6cgafh-vzatocfu-smnqhsvandsc,INPUT,d_6cgafh_2037
6CGAFH,MASTERDATA,6cgafh-vzatocfu-smnqhsvandsc,INPUT,d_6cgafh_2947
6CGAFH,RAWDATA,6cgafh-vzatocfu-smnqhsvandsc,INPUT,d_6cgafh_3978
6CGAFH,MASTERDATA,6cgafh-xwceatcg-uthcpdccnebe,INPUT,d_6cgafh_2037
